OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,cover,batimv2uw,lon,lat
"118","40152",Estructura Coralina,"5",143.99999998100,"40152","40153","1",RF N,PUMA.kmz,0.00036907983,0.00000000659,76.023,life cover,-6.00000000000,-86.953,20.740
"119","40153",Estructura Coralina,"5",351.99999997900,"40153","40154","1",RF N,PUMA.kmz,0.00104391598,0.00000003055,352.281,life cover,-3.90000000000,-86.956,20.740
"120","40154",Estructura Coralina,"5",2255.99999992000,"40154","40155","1",RF N,PUMA.kmz,0.00193070654,0.00000012984,1497.161,life cover,-4.00000000000,-86.960,20.740
"121","40155",Estructura Coralina,"5",655.99999998600,"40155","40156","1",RF N,PUMA.kmz,0.00112076485,0.00000005694,656.524,life cover,-2.90000000000,-86.959,20.741
"122","40156",Estructura Coralina,"5",3295.99999983000,"40156","40157","1",RF N,PUMA.kmz,0.00456444805,0.00000028607,3298.636,life cover,-3.30000000000,-86.957,20.741
"123","40157",Estructura Coralina,"5",96.00000004040,"40157","40158","1",RF N,PUMA.kmz,0.00037054948,0.00000000833,96.077,life cover,-4.30000000000,-86.956,20.741
"124","40158",Estructura Coralina,"5",3968.00000003000,"40158","40159","1",RF N,PUMA.kmz,0.00369244736,0.00000034440,3971.177,life cover,-2.70000000000,-86.960,20.741
"125","40159",Estructura Coralina,"5",64.00000001280,"40159","40160","1",RF N,PUMA.kmz,0.00037966320,0.00000000555,64.051,life cover,-4.50000000000,-86.957,20.741
"126","40160",Estructura Coralina,"5",6431.99999968000,"40160","40161","1",RF N,PUMA.kmz,0.00829056993,0.00000055778,6431.615,life cover,-3.50000000000,-86.958,20.741
"127","40161",Estructura Coralina,"5",416.00000001900,"40161","40162","1",RF N,PUMA.kmz,0.00089479039,0.00000003611,416.333,life cover,-4.90000000000,-86.958,20.742
"128","40162",Estructura Coralina,"5",1040.00000003000,"40162","40163","1",RF N,PUMA.kmz,0.00187097663,0.00000009027,1040.832,life cover,-3.30000000000,-86.957,20.742
"129","40163",Estructura Coralina,"5",128.00000001200,"40163","40164","1",RF N,PUMA.kmz,0.00044739565,0.00000001111,128.103,life cover,-5.00000000000,-86.957,20.742
"130","40164",Estructura Coralina,"5",2224.00000014000,"40164","40165","1",RF N,PUMA.kmz,0.00278855675,0.00000019303,2225.780,life cover,-4.10000000000,-86.955,20.742
"131","40165",Estructura Coralina,"5",511.99999994700,"40165","40166","1",RF N,PUMA.kmz,0.00104847824,0.00000004444,512.410,life cover,-5.20000000000,-86.958,20.742
"132","40166",Estructura Coralina,"5",1007.99999995000,"40166","40167","1",RF N,PUMA.kmz,0.00156360993,0.00000008749,1008.807,life cover,-5.10000000000,-86.958,20.742
"133","40167",Estructura Coralina,"5",304.00000000400,"40167","40168","1",RF N,PUMA.kmz,0.00082706425,0.00000002639,304.244,life cover,-7.40000000000,-86.955,20.743
"134","40168",Estructura Coralina,"5",3584.00000015000,"40168","40169","1",RF N,PUMA.kmz,0.00544559576,0.00000031107,3586.864,life cover,-3.30000000000,-86.954,20.742
"135","40169",Estructura Coralina,"5",1216.00000011000,"40169","40170","1",RF N,PUMA.kmz,0.00195239406,0.00000010554,1216.975,life cover,-5.40000000000,-86.956,20.743
"136","40171",Estructura Coralina,"5",735.99999995400,"40171","40172","1",RF N,PUMA.kmz,0.00127482711,0.00000004984,574.733,life cover,-4.80000000000,-86.957,20.743
"137","40172",Estructura Coralina,"5",16848.00000010000,"40172","40173","1",RF N,PUMA.kmz,0.01415395464,0.00000146132,16849.831,life cover,-5.10000000000,-86.955,20.743
"138","51006",Tocones y Pedacería de Coral,"6",272.00000015100,"51006","51007","3",RF CS,PUMA.kmz,0.00081785696,0.00000002360,272.217,bare substrate,-3.00000000000,-86.986,20.706
"139","51009",Tocones y Pedacería de Coral,"6",127.99999993400,"51009","51010","3",RF CS,PUMA.kmz,0.00051963368,0.00000001111,128.102,bare substrate,-3.00000000000,-86.982,20.710
"140","51010",Tocones y Pedacería de Coral,"6",128.00000004400,"51010","51011","3",RF CS,PUMA.kmz,0.00044734797,0.00000001111,128.102,bare substrate,-2.80000000000,-86.981,20.710
"141","51011",Tocones y Pedacería de Coral,"6",63.99999999770,"51011","51012","3",RF CS,PUMA.kmz,0.00029823318,0.00000000555,64.051,bare substrate,-4.20000000000,-86.977,20.712
"142","51012",Tocones y Pedacería de Coral,"6",431.99999997100,"51012","51013","3",RF CS,PUMA.kmz,0.00105290918,0.00000003749,432.345,bare substrate,-3.90000000000,-86.976,20.713
"143","51013",Tocones y Pedacería de Coral,"6",63.99999998300,"51013","51014","3",RF CS,PUMA.kmz,0.00029823768,0.00000000555,64.052,bare substrate,-3.50000000000,-86.974,20.716
"144","51014",Tocones y Pedacería de Coral,"6",80.00000001630,"51014","51015","3",RF CS,PUMA.kmz,0.00037507216,0.00000000694,80.064,bare substrate,-3.40000000000,-86.972,20.717
"145","51015",Tocones y Pedacería de Coral,"6",112.00000005900,"51015","51016","3",RF CS,PUMA.kmz,0.00044735967,0.00000000972,112.090,bare substrate,-4.80000000000,-86.971,20.718
"146","51016",Tocones y Pedacería de Coral,"6",303.99999996700,"51016","51017","3",RF CS,PUMA.kmz,0.00096245987,0.00000002638,304.243,bare substrate,-4.50000000000,-86.971,20.718
