ID,zone,length,poligon
288,RF,96.586,S
289,RF,100.13,S
290,RF,94.607,S
291,RF,91.81,S
292,RF,95.523,S
293,RF,100.81,S
294,RF,104.57,S
295,RF,107.57,S
296,RF,110.52,S
297,RF,109.44,S
298,RF,108.27,S
299,RF,106.71,S
300,RF,105.51,S
301,RF,102.64,S
302,RF,98.469,S
303,RF,101.58,C
304,RF,101.5,C
305,RF,101.57,C
306,RF,101.36,C
307,RF,100,C
308,RF,100.72,C
309,RF,101.22,C
310,RF,101.25,C
311,RF,103.11,C
312,RF,103.91,C
313,RF,106.53,C
314,RF,120.21,C
315,RF,128.17,C
316,RF,128.9,C
317,RF,127.39,C
318,RF,127.08,C
319,RF,126.8,C
320,RF,124.03,C
321,RF,121.09,C
322,RF,117.17,C
323,RF,115.72,C
324,RF,113.58,C
325,RF,110.91,C
326,RF,107.99,C
327,RF,108.4,C
328,RF,107.95,C
329,RF,108.43,C
330,RF,109.72,C
331,RF,111.05,C
332,RF,112.28,C
333,RF,113.78,C
334,RF,113.45,C
335,RF,112.7,C
336,RF,112.57,C
337,RF,111.72,C
338,RF,111.42,C
339,RF,111.49,C
340,RF,111.5,C
341,RF,111.07,C
342,RF,110.83,C
343,RF,112.45,C
344,RF,113.6,C
345,RF,115.17,C
346,RF,116.76,C
347,RF,119.5,C
348,RF,121.98,C
349,RF,124.57,C
350,RF,126.83,C
351,RF,129.12,C
352,RF,130.18,C
353,RF,130.41,C
354,RF,130.56,C
355,RF,130.65,C
356,RF,131.05,C
357,RF,131.56,C
358,RF,132.89,C
359,RF,134.13,C
360,RF,135.28,C
361,RF,136.53,C
362,RF,137.13,C
363,RF,138.02,C
364,RF,138.68,C
365,RF,139.71,C
366,RF,140.41,C
367,RF,140.86,C
368,RF,141.77,C
369,RF,142.32,C
370,RF,143.32,C
371,RF,143.33,C
372,RF,142.08,C
373,RF,140.43,C
374,RF,138.93,C
375,RF,138.33,C
376,RF,139.81,C
377,RF,145.23,C
378,RF,150.57,C
379,RF,150.65,C
380,RF,151.6,C
381,RF,152.23,C
382,RF,150.37,C
383,RF,148.01,C
384,RF,149.26,C
385,RF,151.72,C
386,RF,154.03,C
387,RF,155.06,C
388,RF,156.44,C
389,RF,155.38,C
390,RF,150.79,C
391,RF,146.55,C
392,RF,141.7,C
393,RF,154.63,N
394,RF,153.07,N
395,RF,151.18,N
396,RF,149.64,N
397,RF,149,N
398,RF,148.27,N
399,RF,147.7,N
400,RF,147.23,N
401,RF,146.79,N
402,RF,146.5,N
403,RF,146.58,N
404,RF,146.67,N
